PlaylistName,VideoId,ChapterId,ChapterName,StartTime,EndTime
Ball Mastery List 1,dRS5EgJp-98,1,Inside Outside Single Leg Two Touch,0:55,1:46
Ball Mastery List 1,dRS5EgJp-98,2,Inside Outside Single Leg One Touch,1:46,2:27
Ball Mastery List 1,dRS5EgJp-98,3,Inside Outside Both Feet,2:27,3:08
Ball Mastery List 1,dRS5EgJp-98,4,Inside Inside (La Croqueta action),3:08,3:49
Ball Mastery List 1,dRS5EgJp-98,5,Sole Rolls,3:49,4:29
Ball Mastery List 1,dRS5EgJp-98,6,Pull and Push (V-Pattern),4:29,5:21
Ball Mastery List 1,dRS5EgJp-98,7,Inside Sole (Tap Tap Roll),5:21,6:13
Ball Mastery List 1,dRS5EgJp-98,8,Inside Outside Sole Single Leg,6:13,6:58
Ball Mastery List 1,dRS5EgJp-98,9,Inside Inside Outside,6:58,7:48
Ball Mastery List 1,dRS5EgJp-98,10,La Croqueta Outside,7:48,8:42
5 Easy Juggling/,xSpvUfTBWx8,1,Toe Bounce,0:26,1:12
5 Easy Juggling/,xSpvUfTBWx8,2,Half Around The World,1:12,1:59
5 Easy Juggling/,xSpvUfTBWx8,3,Crossover,1:59,2:47
5 Easy Juggling/,xSpvUfTBWx8,4,Heel Juggling,2:47,3:34
5 Easy Juggling/,xSpvUfTBWx8,5,Slap Juggling,3:34,4:32
